DAY,MONTH,YEAR,CATEGORY_NAME,BRAND_NAME,OFFER_ID,OFFER_NAME,VISIBILITY_INDEX,SHOWS,SHOWS_WITH_PROMOTION,SHOWS_SHARE,CLICKS,CLICKS_WITH_PROMOTION,TO_CART_CONVERSION,TO_CART,TO_CART_WITH_PROMOTION,TO_CART_SHARE,ORDER_ITEMS,ORDER_ITEMS_WITH_PROMOTION,ORDER_ITEMS_TOTAL_AMOUNT,ORDER_ITEMS_TOTAL_AMOUNT_WITH_PROMOTION,TO_ORDER_CONVERSION,ORDER_ITEMS_SHARE,ORDER_ITEMS_DELIVERED_COUNT,ORDER_ITEMS_DELIVERED_COUNT_WITH_PROMOTION,ORDER_ITEMS_DELIVERED_TOTAL_AMOUNT,ORDER_ITEMS_DELIVERED_TOTAL_AMOUNT_WITH_PROMOTION,ORDER_ITEMS_DELIVERED_FROM_ORDERED_COUNT,ORDER_ITEMS_DELIVERED_FROM_ORDERED_TOTAL_AMOUNT,ORDER_ITEMS_DELIVERED_FROM_ORDERED_TOTAL_AMOUNT_WITH_PROMOTION,ORDER_ITEMS_CANCELED_COUNT,ORDER_ITEMS_CANCELED_BY_CREATED_AT_COUNT,ORDER_ITEMS_RETURNED_COUNT,ORDER_ITEMS_RETURNED_BY_CREATED_AT_COUNT
10-10-2025,10-2025,2025,Детские товары · Игрушки и игры · Конструкторы · Конструкторы,Юнландия,104683,,До 5,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-10-2025,10-2025,2025,Детские товары · Игрушки и игры · Конструкторы · Конструкторы,Юнландия,104684,,До 5,56,33,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-10-2025,10-2025,2025,Детские товары · Развитие и обучение · Раннее развитие · Обучающие наборы и материалы · Счётный материал,Юнландия,104920,,До 5,450,31,6.89,1,0,0.22,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-10-2025,10-2025,2025,Детские товары · Хобби и творчество · Лепка · Кинетический песок · Кинетический песок,Юнландия,104992,,37,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-10-2025,10-2025,2025,Детские товары · Хобби и творчество · Лепка · Кинетический песок · Кинетический песок,Юнландия,104994,,34,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-10-2025,10-2025,2025,Детские товары · Хобби и творчество · Лепка · Кинетический песок · Кинетический песок,Юнландия,104995,,34,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-10-2025,10-2025,2025,Детские товары · Хобби и творчество · Лепка · Кинетический песок · Кинетический песок,Юнландия,104996,,29,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-10-2025,10-2025,2025,Товары для дома · Товары для праздников · Воздушные шары · Воздушные шары без гелия,Золотая сказка,105000,,6,62,0,64.52,2,0,1.61,1,0,100,0,0,0,0,0,0,1,0,387,0,0,0,0,0,0,0,0
10-10-2025,10-2025,2025,Товары для дома · Товары для праздников · Воздушные шары · Воздушные шары без гелия,Золотая сказка,105001,,7,173,134,0,3,1,0.58,1,1,0,1,1,234,234,100,0,0,0,0,0,1,234,0,0,0,0,0
10-10-2025,10-2025,2025,Товары для дома · Товары для праздников · Воздушные шары · Воздушные шары без гелия,Золотая сказка,105002,,До 5,71,1,70.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-10-2025,10-2025,2025,Товары для дома · Товары для праздников · Воздушные шары · Воздушные шары без гелия,Золотая сказка,105003,,До 5,8,0,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-10-2025,10-2025,2025,Товары для дома · Товары для праздников · Воздушные шары · Воздушные шары без гелия,Золотая сказка,105005,"Воздушные шары для праздника, воздушные шарики набор на день рождения Золотая Сказка, 12"" (30 см), 50 штук, 10 цветов, с рисунком C днем рождения, 105005",35,354,312,86.72,10,6,1.41,5,5,40,1,1,356,356,20,100,0,0,0,0,1,356,0,0,0,0,0
10-10-2025,10-2025,2025,Товары для дома · Товары для праздников · Воздушные шары · Воздушные шары без гелия,Золотая сказка,105006,,До 5,7,2,0,2,1,14.29,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-10-2025,10-2025,2025,Товары для дома · Товары для праздников · Воздушные шары · Воздушные шары без гелия,Золотая сказка,105008,"Шары воздушные в форме сердца ЗОЛОТАЯ СКАЗКА, 10"" (25 см), КОМПЛЕКТ 50 штук, 3 цвета, пакет, 105008",До 5,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-10-2025,10-2025,2025,Товары для дома · Товары для праздников · Воздушные шары · Воздушные шары без гелия,Золотая сказка,105009,,До 5,48,0,52.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-10-2025,10-2025,2025,Товары для дома · Товары для праздников · Воздушные шары · Воздушные шары без гелия,Золотая сказка,105012,,До 5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-10-2025,10-2025,2025,Товары для дома · Товары для праздников · Воздушные шары · Воздушные шары без гелия,Золотая сказка,105013,,До 5,23,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-10-2025,10-2025,2025,Детские товары · Хобби и творчество · Лепка · Пластилин и масса для лепки · Пластилин,Юнландия,105031,,До 5,8,0,12.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-10-2025,10-2025,2025,"Детские товары · Товары для школы · Тетради, блокноты, дневники · Дневники · Дневники школьные",BRAUBERG,105481,,40,36,28,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-10-2025,10-2025,2025,"Детские товары · Товары для школы · Тетради, блокноты, дневники · Дневники · Дневники школьные",BRAUBERG,105502,,До 5,13,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-10-2025,10-2025,2025,Детские товары · Развитие и обучение · Раннее развитие · Обучающие наборы и материалы · Счётный материал,Пифагор,105857,,До 5,72,35,0,1,0,1.39,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-10-2025,10-2025,2025,Детские товары · Развитие и обучение · Раннее развитие · Обучающие наборы и материалы · Счётный материал,Юнландия,105858,,До 5,675,84,13.63,13,6,0.59,4,4,100,3,3,927,927,75,100,1,1,309,309,3,927,309,0,0,0,0
10-10-2025,10-2025,2025,Детские товары · Хобби и творчество · Лепка · Пластилин и масса для лепки · Пластилин,Юнландия,105860,,До 5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-10-2025,10-2025,2025,Детские товары · Хобби и творчество · Лепка · Пластилин и масса для лепки · Пластилин,Юнландия,105863,,До 5,20,9,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,435,435,0,0,435,0,0,0,0
10-10-2025,10-2025,2025,Детские товары · Хобби и творчество · Лепка · Пластилин и масса для лепки · Пластилин,Юнландия,105866,,До 5,16,10,75,0,0,0,0,0,0,0,0,0,0,0,0,1,1,792,792,0,0,792,0,0,0,0
10-10-2025,10-2025,2025,Детские товары · Хобби и творчество · Лепка · Пластилин и масса для лепки · Пластилин,Юнландия,105867,,36,151,110,82.78,6,3,0.66,1,1,100,0,0,0,0,0,0,1,1,811,811,0,0,811,0,0,0,0
10-10-2025,10-2025,2025,Детские товары · Хобби и творчество · Лепка · Пластилин и масса для лепки · Пластилин,BRAUBERG,105873,,До 5,34,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-10-2025,10-2025,2025,Детские товары · Хобби и творчество · Лепка · Пластилин и масса для лепки · Пластилин,BRAUBERG,105874,,31,622,225,39.07,14,6,0.64,4,4,100,1,1,291,291,25,100,2,2,582,582,1,291,582,0,0,0,0
10-10-2025,10-2025,2025,Детские товары · Хобби и творчество · Лепка · Пластилин и масса для лепки · Пластилин,Юнландия,105905,,До 5,115,16,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-10-2025,10-2025,2025,Детские товары · Хобби и творчество · Лепка · Пластилин и масса для лепки · Пластилин,Юнландия,105906,,До 5,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-10-2025,10-2025,2025,Детские товары · Хобби и творчество · Лепка · Пластилин и масса для лепки · Пластилин,Юнландия,105907,,25,244,79,46.72,3,0,0.41,1,1,0,1,1,291,291,100,0,0,0,0,0,1,291,0,0,0,0,0
10-10-2025,10-2025,2025,Детские товары · Хобби и творчество · Лепка · Пластилин и масса для лепки · Пластилин,Юнландия,105908,,33,746,225,29.22,12,5,0.8,6,6,100,1,1,267,267,16.67,100,3,3,801,801,1,267,801,0,0,0,0
10-10-2025,10-2025,2025,Детские товары · Хобби и творчество · Рисование · Альбомы для рисования · Скетчбуки,BRAUBERG,105912,,До 5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-10-2025,10-2025,2025,Детские товары · Хобби и творчество · Рисование · Альбомы для рисования · Альбомы для рисования,BRAUBERG,105924,,До 5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-10-2025,10-2025,2025,Детские товары · Хобби и творчество · Рисование · Альбомы для рисования · Альбомы для рисования,BRAUBERG,105927,,До 5,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-10-2025,10-2025,2025,Детские товары · Хобби и творчество · Рисование · Альбомы для рисования · Альбомы для рисования,BRAUBERG,105929,,10,27,7,55.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-10-2025,10-2025,2025,Детские товары · Хобби и творчество · Рисование · Альбомы для рисования · Альбомы для рисования,BRAUBERG,105930,,До 5,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-10-2025,10-2025,2025,"Детские товары · Товары для школы · Тетради, блокноты, дневники · Дневники · Дневники школьные",Юнландия,105937,,До 5,12,12,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-10-2025,10-2025,2025,"Детские товары · Товары для школы · Тетради, блокноты, дневники · Дневники · Дневники школьные",Юнландия,105940,,36,19,14,78.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-10-2025,10-2025,2025,"Детские товары · Товары для школы · Тетради, блокноты, дневники · Дневники · Дневники школьные",Юнландия,105958,"Дневник 1-4 класс 48л, обложка кожзам (твердая), застежка, ЮНЛАНДИЯ, ФУТБОЛ, 105958",34,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-10-2025,10-2025,2025,"Детские товары · Товары для школы · Тетради, блокноты, дневники · Дневники · Дневники школьные",BRAUBERG,105961,,До 5,46,41,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-10-2025,10-2025,2025,"Детские товары · Товары для школы · Тетради, блокноты, дневники · Дневники · Дневники школьные",BRAUBERG,105962,,26,23,0,0,4,0,4.35,1,0,0,1,0,308,0,100,0,0,0,0,0,1,308,0,0,0,0,0
10-10-2025,10-2025,2025,"Детские товары · Товары для школы · Тетради, блокноты, дневники · Дневники · Дневники школьные",BRAUBERG,105983,,34,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-10-2025,10-2025,2025,"Детские товары · Товары для школы · Тетради, блокноты, дневники · Дневники · Дневники школьные",BRAUBERG,105985,,62,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-10-2025,10-2025,2025,"Детские товары · Товары для школы · Тетради, блокноты, дневники · Дневники · Дневники школьные",BRAUBERG,105991,,До 5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-10-2025,10-2025,2025,"Детские товары · Товары для школы · Тетради, блокноты, дневники · Дневники · Дневники школьные",BRAUBERG,105992,,До 5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-10-2025,10-2025,2025,Детские товары · Хобби и творчество · Рисование · Альбомы для рисования · Альбомы для рисования,BRAUBERG,106141,,До 5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-10-2025,10-2025,2025,Детские товары · Хобби и творчество · Рисование · Альбомы для рисования · Альбомы для рисования,BRAUBERG,106144,,До 5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-10-2025,10-2025,2025,"Детские товары · Товары для школы · Тетради, блокноты, дневники · Дневники · Дневники школьные",Юнландия,106159,,37,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-10-2025,10-2025,2025,"Детские товары · Товары для школы · Тетради, блокноты, дневники · Дневники · Дневники школьные",BRAUBERG,106167,,До 5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-10-2025,10-2025,2025,"Детские товары · Товары для школы · Тетради, блокноты, дневники · Дневники · Дневники школьные",Юнландия,106184,,40,31,28,74.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-10-2025,10-2025,2025,"Детские товары · Товары для школы · Тетради, блокноты, дневники · Дневники · Дневники школьные",Юнландия,106187,,До 5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-10-2025,10-2025,2025,"Детские товары · Товары для школы · Тетради, блокноты, дневники · Дневники · Дневники школьные",BRAUBERG,106190,,До 5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-10-2025,10-2025,2025,"Детские товары · Товары для школы · Тетради, блокноты, дневники · Дневники · Дневники школьные",BRAUBERG,106192,,До 5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-10-2025,10-2025,2025,"Детские товары · Товары для школы · Тетради, блокноты, дневники · Дневники · Дневники школьные",Юнландия,106198,,До 5,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-10-2025,10-2025,2025,"Детские товары · Товары для школы · Тетради, блокноты, дневники · Дневники · Дневники школьные",BRAUBERG,106204,,До 5,17,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-10-2025,10-2025,2025,"Детские товары · Товары для школы · Тетради, блокноты, дневники · Дневники · Дневники школьные",BRAUBERG,106206,,До 5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-10-2025,10-2025,2025,"Детские товары · Товары для школы · Тетради, блокноты, дневники · Дневники · Дневники школьные",Юнландия,106210,,До 5,10,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-10-2025,10-2025,2025,"Детские товары · Товары для школы · Тетради, блокноты, дневники · Дневники · Дневники школьные",BRAUBERG,106211,,До 5,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-10-2025,10-2025,2025,"Детские товары · Товары для школы · Тетради, блокноты, дневники · Дневники · Дневники школьные",Юнландия,106215,,До 5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-10-2025,10-2025,2025,"Детские товары · Товары для школы · Тетради, блокноты, дневники · Дневники · Дневники школьные",Юнландия,106216,,До 5,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-10-2025,10-2025,2025,"Детские товары · Товары для школы · Тетради, блокноты, дневники · Дневники · Дневники школьные",Юнландия,106217,,До 5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-10-2025,10-2025,2025,"Детские товары · Товары для школы · Тетради, блокноты, дневники · Дневники · Дневники школьные",BRAUBERG,106220,,До 5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-10-2025,10-2025,2025,"Детские товары · Товары для школы · Тетради, блокноты, дневники · Дневники · Дневники школьные",BRAUBERG,106223,,До 5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-10-2025,10-2025,2025,"Детские товары · Товары для школы · Тетради, блокноты, дневники · Дневники · Дневники школьные",BRAUBERG,106224,,До 5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-10-2025,10-2025,2025,Детские товары · Развитие и обучение · Раннее развитие · Обучающие наборы и материалы · Счётный материал,Юнландия,106238,,До 5,89,0,34.83,8,0,4.49,4,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-10-2025,10-2025,2025,Детские товары · Развитие и обучение · Раннее развитие · Обучающие наборы и материалы · Счётный материал,Юнландия,106239,"Счеты Абакус (соробан) детские школьные развивающие для первоклассника радужные Ментальная арифметика,13 разрядов, кнопка обнуления, Юнландия, 106239",33,272,0,22.79,6,0,1.1,3,0,100,1,0,453,0,33.33,100,0,0,0,0,1,453,0,0,0,0,0
10-10-2025,10-2025,2025,Детские товары · Хобби и творчество · Лепка · Пластилин и масса для лепки · Пластилин,BRAUBERG,106306,,42,117,0,76.07,1,0,0,0,0,0,0,0,0,0,0,0,1,1,149,149,0,0,149,0,0,0,0
10-10-2025,10-2025,2025,Детские товары · Хобби и творчество · Лепка · Пластилин и масса для лепки · Пластилин,BRAUBERG,106307,,До 5,236,208,81.36,9,6,1.69,4,4,100,3,3,705,705,75,100,0,0,0,0,3,705,0,0,0,0,0
10-10-2025,10-2025,2025,Детские товары · Хобби и творчество · Лепка · Пластилин и масса для лепки · Пластилин,BRAUBERG,106308,,До 5,14,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-10-2025,10-2025,2025,Детские товары · Хобби и творчество · Лепка · Пластилин и масса для лепки · Пластилин,BRAUBERG,106309,,До 5,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-10-2025,10-2025,2025,Детские товары · Хобби и творчество · Лепка · Пластилин и масса для лепки · Пластилин,BRAUBERG,106310,,До 5,32,25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,439,439,0,0,439,0,0,0,0
10-10-2025,10-2025,2025,Детские товары · Хобби и творчество · Лепка · Пластилин и масса для лепки · Пластилин,BRAUBERG,106311,,35,1159,123,8.71,7,4,0.43,5,5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-10-2025,10-2025,2025,Детские товары · Хобби и творчество · Лепка · Пластилин и масса для лепки · Пластилин,BRAUBERG,106423,,До 5,25,13,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-10-2025,10-2025,2025,Детские товары · Хобби и творчество · Лепка · Пластилин и масса для лепки · Пластилин,BRAUBERG,106425,,12,56,32,57.14,5,1,1.79,1,1,0,0,0,0,0,0,0,1,1,474,474,0,0,474,0,0,0,0
10-10-2025,10-2025,2025,Детские товары · Хобби и творчество · Лепка · Пластилин и масса для лепки · Пластилин,BRAUBERG,106426,,До 5,41,39,56.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-10-2025,10-2025,2025,Детские товары · Хобби и творчество · Лепка · Пластилин и масса для лепки · Пластилин,BRAUBERG,106427,,До 5,28,6,64.29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-10-2025,10-2025,2025,Детские товары · Хобби и творчество · Лепка · Пластилин и масса для лепки · Пластилин,Пифагор,106429,,До 5,75,10,70.67,1,0,1.33,1,0,100,1,0,291,0,100,100,0,0,0,0,1,291,0,0,0,0,0
10-10-2025,10-2025,2025,Детские товары · Хобби и творчество · Лепка · Пластилин и масса для лепки · Пластилин,Юнландия,106430,,54,79,66,73.42,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-10-2025,10-2025,2025,Детские товары · Хобби и творчество · Лепка · Пластилин и масса для лепки · Пластилин,Юнландия,106431,,До 5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-10-2025,10-2025,2025,Детские товары · Хобби и творчество · Лепка · Пластилин и масса для лепки · Пластилин,Юнландия,106432,,27,245,216,87.35,3,2,0.41,1,1,100,1,1,256,256,100,100,0,0,0,0,1,256,0,1,0,0,0
10-10-2025,10-2025,2025,Детские товары · Хобби и творчество · Лепка · Пластилин и масса для лепки · Пластилин,Юнландия,106433,,До 5,26,2,57.69,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-10-2025,10-2025,2025,Детские товары · Хобби и творчество · Лепка · Пластилин и масса для лепки · Пластилин,Юнландия,106434,,До 5,32,14,40.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-10-2025,10-2025,2025,Детские товары · Хобби и творчество · Лепка · Пластилин и масса для лепки · Пластилин,BRAUBERG,106436,"Пластилин классический для лепки (набор) для детей Brauberg KIDS,  12 цветов,  240 г,  стек,  Высшее Качество, 106436",До 5,15,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-10-2025,10-2025,2025,Детские товары · Хобби и творчество · Лепка · Пластилин и масса для лепки · Пластилин,BRAUBERG,106437,,13,12,6,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-10-2025,10-2025,2025,Детские товары · Хобби и творчество · Лепка · Пластилин и масса для лепки · Пластилин,BRAUBERG,106438,,34,242,220,84.3,6,4,2.48,6,6,100,2,2,976,976,33.33,100,1,1,488,488,2,976,488,1,0,0,0
10-10-2025,10-2025,2025,Детские товары · Хобби и творчество · Лепка · Пластилин и масса для лепки · Пластилин,BRAUBERG,106495,,От 95,213,0,27.7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,347,0,0,0,0,0,0,0,0
10-10-2025,10-2025,2025,Детские товары · Хобби и творчество · Лепка · Пластилин и масса для лепки · Пластилин,BRAUBERG,106497,,10,46,41,73.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-10-2025,10-2025,2025,Детские товары · Хобби и творчество · Лепка · Пластилин и масса для лепки · Пластилин,BRAUBERG,106498,,До 5,15,14,93.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-10-2025,10-2025,2025,Детские товары · Хобби и творчество · Лепка · Пластилин и масса для лепки · Пластилин,Пифагор,106505,,24,117,0,76.92,0,0,0,0,0,0,0,0,0,0,0,0,2,0,424,0,0,0,0,0,0,0,0
10-10-2025,10-2025,2025,Детские товары · Хобби и творчество · Лепка · Пластилин и масса для лепки · Пластилин,Юнландия,106506,,36,60,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
